date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:41	47089/47089	---M--	200	added ('OK')	image/jpeg	etag:%2295c329295f9526157f111135eefd8c28%22	https://r.mobirisesite.com/2300835/assets/images/photo-1757439402103-fc35542f96f8.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1757439402103-fc35542f96f8.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:41	52235/52235	---M--	200	added ('OK')	image/jpeg	etag:%22af54195c4e18629587806a71d051fffa%22	https://r.mobirisesite.com/2300835/assets/images/photo-1758548157747-285c7012db5b.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1758548157747-285c7012db5b.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:41	94714/94714	---M--	200	added ('OK')	image/jpeg	etag:%22ae1b182fc32f180f8f4e53181dd15f26%22	https://r.mobirisesite.com/2300835/assets/images/photo-1559329389-0a5042e65c29.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1559329389-0a5042e65c29.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:42	166853/166853	---M--	200	added ('OK')	image/jpeg	etag:%22d836e3236aad1d7c4a15b76dda5bab14%22	https://r.mobirisesite.com/2300835/assets/images/photo-1758448617677-2f8bebc56d9e.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1758448617677-2f8bebc56d9e.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:42	101866/101866	---M--	200	added ('OK')	image/jpeg	etag:%22d7c939d55ef68caf59fe8da99a53be32%22	https://r.mobirisesite.com/2300835/assets/images/photo-1720802704358-d5128e061516.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1720802704358-d5128e061516.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:42	152291/152291	---M--	200	added ('OK')	image/jpeg	etag:%22f7f710ee0f56f79967652ca8793a5ce5%22	https://r.mobirisesite.com/2300835/assets/images/photo-1757924284732-4189190321cf.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1757924284732-4189190321cf.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:42	96403/96403	---M--	200	added ('OK')	image/jpeg	etag:%2295b54673ae840e3d9e7a50d32ff515d0%22	https://r.mobirisesite.com/2300835/assets/images/photo-1758957530781-4ff54e09bee2.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1758957530781-4ff54e09bee2.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:43	108073/108073	---M--	200	added ('OK')	image/jpeg	etag:%228f1df5f127b931aab71b0a290978dc05%22	https://r.mobirisesite.com/2300835/assets/images/photo-1601630164609-af849e05b776.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1601630164609-af849e05b776.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:43	170743/170743	---M--	200	added ('OK')	image/jpeg	etag:%229f6e422a533895e6c69afc1fe33a6c93%22	https://r.mobirisesite.com/2300835/assets/images/team1-h_mlf6eh18.jpg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/team1-h_mlf6eh18.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:43	125393/125393	---M--	200	added ('OK')	image/jpeg	etag:%228ab923462da8c8a1d257901b4fa90e39%22	https://r.mobirisesite.com/2300835/assets/images/photo-1763783695583-c0703902d318.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1763783695583-c0703902d318.jpg	(from https://maasaradaapartment.mobirisesite.com/)
